test,sample1,sample1,sample1,sample2,sample2,sample2,sample3,sample3,R=10mm,H=26.7mm,t=0.56mm
dv (ml),p (kpa),p2,p3,p1,p2,p3,p2,p3,,,
0.497777778,-0.521299554,-0.972113178,-1.102181111,-0.900660083,-1.300486961,-1.236379457,-0.587704278,-0.386967184,,,
0.502222222,-0.65523012,-0.852615954,-1.108874236,-1.104485484,-1.106512796,-1.232960319,-0.197319914,-0.52516772,,,
0.506666667,-0.722094298,-1.042599108,-1.239067881,-0.910896849,-1.236969194,-1.36348257,-0.520774577,-0.71494846,,,
0.511111111,-1.039380681,-1.366835788,-1.105531047,-0.579973984,-0.920339363,-0.91227422,-0.12606299,-0.592162944,,,
0.515555556,-0.648011488,-1.233157682,-1.296286984,-0.840623761,-1.310723727,-1.36348257,-0.386712767,-0.848882695,,,
0.52,-1.042599108,-1.172923997,-1.102181111,-1.041024971,-1.300486961,-0.908529756,-0.647362544,-0.32377663,,,
0.524444444,-0.915617409,-0.979207584,-0.84488127,-0.650640607,-1.374118717,-1.042599108,-0.707201503,-0.394974076,,,
0.528888889,-1.109335507,-1.303248886,-1.045479247,-0.837142316,-1.236969194,-0.971915815,-0.837723754,-0.592162944,,,
0.533333333,-0.972507905,-1.042599108,-1.172333101,-0.840623761,-1.110125751,-1.172923997,-0.710752283,-0.260649777,,,
0.537777778,-0.908924284,-0.908661265,-1.105531047,-0.840623761,-1.240450639,-1.232960319,-0.517037656,-0.517423582,,,
0.542222222,-1.039380681,-0.781949331,-1.169052229,-0.840623761,-1.501100416,-1.105988847,-0.517037656,-0.655361365,,,
0.546666667,-0.591966177,-0.972113178,-1.105531047,-0.780768728,-1.110125751,-0.852812721,-0.650968222,-0.84178829,,,
0.551111111,-0.852222419,-1.042599108,-1.235855936,-1.101273539,-1.300486961,-1.042599108,-0.382836794,-0.722291065,,,
0.555555556,-0.718557807,-1.169574061,-0.785223004,-0.449649096,-1.180595606,-1.306592075,-0.12606299,-0.130324889,,,
0.56,-0.84881704,-1.303248886,-0.904720228,-1.225418354,-1.240450639,-1.232960319,-0.520774577,-0.651624443,,,
0.564444444,-0.651624443,-0.781949331,-1.169052229,-0.837142316,-0.976056399,-0.841393563,-0.844555141,-0.778336377,,,
0.568888889,-0.982350541,-1.366835788,-1.296286984,-0.904079222,-1.374118717,-0.521299554,-0.256387879,-0.781949331,,,
0.573333333,-0.91227422,-1.172923997,-0.975206159,-0.837142316,-1.173515489,-0.91227422,-0.777687433,-0.260649777,,,
0.577777778,-0.651624443,-0.781949331,-0.841268316,-0.840623761,-1.370775528,-1.172923997,-0.710752283,-0.517423582,,,
0.582222222,-1.039380681,-1.430486856,-0.971724713,-0.713904551,-1.180595606,-0.982940842,-0.64374959,-0.260649777,,,
0.586666667,-0.91227422,-1.112872196,-1.175607368,-0.579973984,-1.367425591,-0.916011142,-0.386712767,-0.91227422,,,
0.591111111,-0.651624443,-1.042599108,-1.239067881,-0.579973984,-1.374118717,-1.303248886,-0.576679251,-0.91227422,,,
0.595555556,-0.521299554,-0.781949331,-1.305735489,-0.97094865,-1.564687319,-0.971915815,-0.382836794,-0.450221535,,,
0.6,-0.91227422,-1.243000318,-1.165764732,-0.900660083,-1.695077929,-1.17639843,-0.517037656,-0.781949331,,,
0.604444444,-0.580941149,-1.243000318,-0.84488127,-0.509093328,-1.501100416,-1.232960319,-0.12606299,-0.647879979,,,
0.608888889,-1.045811054,-0.778204868,-0.584231493,-0.583710906,-0.979800862,-0.916011142,-0.517037656,-0.651624443,,,
0.613333333,-0.841985653,-1.433573774,-0.714556382,-0.319324207,-1.431009213,-0.971915815,-0.650968222,-0.260649777,,,
0.617777778,-0.845404791,-1.176267186,-1.102181111,-0.256195303,-1.113731428,-0.979273239,-0.520774577,-0.390974666,,,
0.622222222,-0.781949331,-0.781949331,-0.841268316,-0.97094865,-1.431009213,-0.841393563,-0.12606299,-0.785555009,,,
0.626666667,-0.390974666,-0.91227422,-1.165764732,-0.710298873,-1.173515489,-0.849014005,-0.12606299,-0.651624443,,,
0.631111111,-1.039380681,-0.972113178,-0.904720228,-0.713904551,-0.849475974,-0.916011142,-0.64374959,-0.655361365,,,
0.635555556,-0.454232962,-0.972113178,-0.7815554,-0.837142316,-1.110125751,-0.778073359,-0.908012321,-0.521299554,,,
0.64,-0.979076273,-1.306460831,-1.108874236,-0.646973003,-1.370775528,-1.172923997,-0.446156999,-0.651624443,,,
0.644444444,-0.781949331,-1.303248886,-0.785223004,-0.583710906,-0.849475974,-0.651624443,-0.587704278,-0.84178829,,,
0.648888889,-0.390974666,-1.172923997,-0.584231493,-0.974291839,-0.849475974,-1.109532472,-0.707201503,-0.915748653,,,
0.653333333,-1.103030156,-1.306460831,-0.915351125,-0.97094865,-1.310723727,-0.916011142,-0.647362544,-0.52516772,,,
0.657777778,-0.982350541,-1.303248886,-0.714556382,-0.579973984,-1.631425305,-1.17639843,-0.386712767,-0.91227422,,,
0.662222222,-0.852222419,-1.433573774,-0.841268316,-1.037750704,-1.240450639,-0.785817497,-0.587704278,-0.521299554,,,
0.666666667,-0.521299554,-1.109466817,-0.841268316,-1.041024971,-1.440851849,-0.841393563,-0.517037656,-0.260649777,,,
0.671111111,-0.521299554,-1.042599108,-0.785223004,-0.63961558,-1.431009213,-1.172923997,-0.520774577,-1.035892468,,,
0.675555556,-0.648011488,-0.91227422,-0.710811918,-0.97094865,-1.046799881,-0.781949331,-0.315634747,-0.915748653,,,
0.68,-0.91227422,-1.172923997,-0.84488127,-1.031182335,-1.431009213,-0.971915815,-0.517037656,-0.91227422,,,
0.684444444,-1.042599108,-0.778204868,-0.968236234,-0.63961558,-1.113731428,-1.366770067,-0.315634747,-0.84178829,,,
0.688888889,-1.103030156,-1.042599108,-1.366180824,-0.579973984,-1.169964709,-0.916011142,-0.315634747,-0.655361365,,,
0.693333333,-0.972507905,-1.042599108,-1.038661619,-1.104485484,-0.849475974,-1.232960319,-0.517037656,-1.045942298,,,
0.697777778,-0.908924284,-1.039117663,-1.235855936,-0.449649096,-0.399826878,-0.781949331,-0.650968222,-0.722291065,,,
0.702222222,-0.975795401,-1.433573774,-1.105531047,-0.710298873,-1.243925073,-1.102438067,-1.098768258,-0.58455785,,,
0.706666667,-0.521299554,-0.91227422,-1.239067881,-0.777232237,-1.367425591,-0.781949331,-0.390580933,-0.651624443,,,
0.711111111,-1.045811054,-0.91227422,-0.975206159,-0.576229521,-1.173515489,-1.497160677,-0.315634747,-0.655361365,,,
0.715555556,-0.781949331,-1.169574061,-0.84488127,-1.101273539,-1.240450639,-0.916011142,-0.386712767,-0.580743786,,,
0.72,-1.109335507,-1.042599108,-0.904720228,-1.098055111,-0.849475974,-1.172923997,-0.446156999,-0.32377663,,,
0.724444444,-0.651624443,-1.112872196,-1.496505713,-0.63961558,-1.110125751,-0.781949331,-0.520774577,-0.91227422,,,
0.728888889,-0.778467886,-1.433573774,-0.978680592,-1.101273539,-1.240450639,-1.042599108,-0.647362544,-0.655361365,,,
0.733333333,-0.45803934,-0.908661265,-0.975206159,-0.770137831,-0.979800862,-1.430355347,-0.517037656,-0.848882695,,,
0.737777778,-0.781949331,-1.433573774,-0.714556382,-0.710298873,-1.431009213,-1.172923997,-0.446156999,-0.84178829,,,
0.742222222,-0.584623572,-0.908661265,-1.235855936,-0.90749147,-1.169964709,-1.042599108,-0.323518208,-0.521299554,,,
0.746666667,-0.651624443,-1.563898663,-1.239067881,-0.900660083,-1.825468539,-1.232960319,-0.315634747,-0.785555009,,,
0.751111111,-0.521299554,-0.778204868,-0.774197977,-0.904079222,-1.240450639,-0.778073359,-0.382836794,-0.260649777,,,
0.755555556,-0.517555091,-1.233157682,-0.714556382,-1.031182335,-1.367425591,-0.845207627,-0.647362544,-0.260649777,,,
0.76,-1.039380681,-0.852615954,-1.165764732,-0.840623761,-1.110125751,-1.433573774,-0.707201503,-0.521299554,,,
