Test ,2folds_sample2_20220701_1753,2folds_sample2_20220701_1747,2folds_sample2_20220701_1743,2folds_sample1_20220701_1737,2folds_sample1_20220701_1723,2folds_sample0_20220701_1719,2folds_sample0_20220701_1713
dV (ml),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa)
0.89,-2.413115861,-2.605583375,-2.86682232,-2.34401286,-2.410815046,-2.343485599,-2.47939131
0.895,-2.73958435,-2.280292993,-2.866496435,-2.34401286,-2.019643216,-2.408321833,-2.675139494
0.9,-2.674551741,-2.801855433,-2.73682266,-2.410089201,-2.54094592,-1.821598983,-2.544226919
0.905,-2.674551741,-2.540551194,-2.735908263,-2.410089201,-2.280424436,-2.147018648,-2.609127952
0.91,-2.543638112,-2.671855411,-2.540353831,-2.34401286,-2.606109942,-2.08309831,-2.347362173
0.915,-2.674551741,-2.801595697,-2.8021803,-1.887088303,-2.54094592,-2.473223426,-2.414621027
0.92,-2.479846862,-2.605583375,-2.607084832,-1.95284103,-1.823565667,-2.407276849,-2.152005503
0.925,-2.609584689,-2.606497771,-2.801789711,-2.082313696,-2.085916522,-2.407276849,-2.349915971
0.93,-2.609584689,-2.606953588,-2.867147548,-1.821269192,-2.410423669,-2.211132685,-2.347362173
0.935,-2.608670293,-2.606497771,-2.73682266,-2.60479408,-2.54094592,-2.147803366,-2.544226919
0.94,-2.348934912,-2.345847994,-2.671399101,-2.474925435,-2.019643216,-2.408321833,-2.73912669
0.945,-2.413115861,-2.540551194,-2.801789711,-2.149701912,-2.410815046,-2.341720857,-2.47939131
0.95,-2.674551741,-2.671855411,-3.127735116,-2.08323164,-1.825529234,-2.538190478,-2.282527755
0.955,-2.543638112,-2.997472437,-2.73682266,-2.016559942,-2.018856913,-2.147018648,-2.935139013
0.96,-2.805201563,-2.801855433,-2.410617882,-2.084147734,-2.54094592,-1.821598983,-2.544226919
0.965,-2.348215157,-2.476759944,-2.997472437,-2.018527474,-2.54094592,-2.146232345,-2.675139494
0.97,-2.935460796,-2.540551194,-2.801789711,-2.343358199,-2.149379165,-2.212573649,-2.544226919
0.975,-3.065723571,-2.932246043,-2.997665766,-1.95284103,-2.410423669,-2.343485599,-2.675139494
0.98,-3.130953543,-2.932373878,-2.671921066,-2.34401286,-2.541205656,-2.016628038,-2.153055089
0.985,-2.544683096,-2.606497771,-2.605320091,-2.147148114,-1.888334662,-2.277409258,-2.413836309
0.99,-2.674551741,-2.801855433,-2.73682266,-1.82245042,-1.889252606,-2.212573649,-2.413836309
0.995,-2.740234151,-2.605583375,-2.867472121,-2.21362225,-2.280946401,-2.015710094,-2.282527755
1,-2.544683096,-2.801595697,-2.735908263,-2.47440347,-1.889252606,-2.015710094,-2.284361794
1.005,-2.674551741,-2.671464823,-2.997084608,-2.408913893,-2.150033826,-2.08224876,-2.153055089
1.01,-2.674551741,-2.540551194,-2.997084608,-2.084147734,-2.541205656,-2.017544132,-2.152005503
1.015,-2.674551741,-2.801595697,-2.280227272,-2.149701912,-2.280424436,-2.407276849,-2.73912669
1.02,-2.674551741,-2.410683603,-2.8021803,-2.410089201,-2.346303811,-2.080544512,-2.61030326
1.025,-3.065723571,-2.606497771,-2.476172883,-2.148852362,-2.150033826,-2.538581066,-2.153055089
1.03,-2.544683096,-2.866759719,-2.474731918,-2.147148114,-2.345847994,-1.885187842,-2.609127952
1.035,-2.804942351,-2.540551194,-2.866496435,-2.410089201,-2.215523106,-2.08309831,-2.805008139
1.04,-2.674551741,-2.932117949,-2.932180321,-2.147148114,-2.344933597,-2.473223426,-2.349915971
1.045,-2.544161131,-2.671464823,-2.280227272,-2.21362225,-1.889252606,-2.212573649,-2.284361794
1.05,-2.609127952,-2.541074213,-2.409831579,-2.60479408,-2.020427934,-2.212573649,-2.805008139
1.055,-2.413770521,-2.997472437,-2.541008492,-2.473880451,-2.280424436,-2.015710094,-2.347362173
1.06,-2.414423863,-2.605583375,-3.127735116,-2.410089201,-2.085198217,-2.212573649,-2.61030326
1.065,-2.413770521,-2.867340877,-2.931920586,-2.019508268,-2.410815046,-2.147803366,-2.413836309
1.07,-2.739909578,-2.606497771,-2.540353831,-2.084147734,-2.150033826,-2.08309831,-2.088416644
1.075,-2.479846862,-2.801595697,-2.541008492,-2.539827028,-1.758861996,-2.080544512,-2.67409451
1.08,-2.869846637,-2.671464823,-2.606497771,-2.34401286,-2.410815046,-2.407276849,-2.413836309
1.085,-2.413115861,-2.932373878,-3.062442838,-2.084147734,-2.475847655,-2.408321833,-2.805008139
1.09,-3.065723571,-2.866759719,-2.801789711,-1.95284103,-2.215523106,-1.885187842,-2.413836309
1.095,-3.065723571,-2.801855433,-2.931920586,-2.60479408,-2.345847994,-2.015710094,-2.805008139
1.1,-2.544683096,-2.932246043,-2.867472121,-2.410089201,-1.889252606,-2.408321833,-2.349066421
1.105,-2.674551741,-3.193027263,-2.997084608,-1.95284103,-2.345847994,-2.146232345,-2.153055089
1.11,-3.065723571,-2.475584637,-2.86682232,-2.410089201,-2.083757253,-2.342310291,-2.283445699
1.115,-2.674551741,-2.476759944,-2.73682266,-2.473880451,-2.476172883,-2.473223426,-2.219722327
1.12,-2.478671555,-2.997472437,-2.801789711,-2.344666201,-2.083757253,-1.886237428,-2.544226919
1.125,-2.609584689,-2.801855433,-2.607084832,-2.08323164,-2.085198217,-2.147018648,-2.218741533
1.13,-2.479259801,-2.997534521,-2.932439533,-1.88597177,-2.541205656,-1.886237428,-2.805008139
1.135,-2.674551741,-2.73682266,-2.931920586,-2.214406968,-2.411205634,-1.821598983,-2.61030326
