p [kPa],Beta1 (deg),Beta2 (deg)
1.3736,12.37676404,4.591277104
1.3774,12.42898155,4.60012961
1.3812,12.59368159,4.676762774
1.3849,12.61115826,4.667925008
1.3887,12.6752172,4.678406917
1.3924,12.72904318,4.657442498
1.3962,12.90727631,4.73577152
1.3999,12.97595668,4.726941056
1.4037,13.0445244,4.751763397
1.4074,13.06936337,4.751763397
1.4112,13.25441733,4.774378512
1.4149,13.35054067,4.786520285
1.4187,13.39369467,4.793668064
1.4224,13.45427555,4.807946706
1.4262,13.53368539,4.861538118
1.4299,13.60294733,4.861538118
1.4337,13.7830896,4.877448133
1.4374,13.80461898,4.924388348
1.4412,13.88476617,4.936552626
1.4450,13.94510811,4.939937278
1.4487,14.05101936,4.980144891
1.4525,14.02843362,5.007910326
1.4562,14.16704644,5.001091289
1.4600,14.39165874,5.007910326
1.4637,14.3565421,5.039555928
1.4675,14.48837112,5.048112315
1.4712,14.52939614,5.086570644
1.4750,14.70263752,5.077818385
1.4787,14.73888579,5.091879894
1.4825,14.91450872,5.107508257
1.4862,14.89994253,5.140638612
1.4900,15.09968022,5.142367901
1.4937,15.06333717,5.175510578
1.4975,15.27149697,5.196449244
1.5013,15.31248144,5.199929599
1.5050,15.3548236,5.241814178
1.5088,15.46861666,5.308047647
1.5125,15.70812069,5.306289272
1.5163,15.68726019,5.34824797
1.5200,15.83303489,5.35340784
1.5238,15.90116421,5.395239035
1.5275,15.95916377,5.351784226
1.5313,16.06610626,5.400566405
1.5350,16.27774397,5.386555494
1.5388,16.18163218,5.442409478
1.5425,16.43807719,5.459752637
1.5463,16.35051661,5.503359562
1.5500,16.40889526,5.506950157
1.5538,16.58090369,5.543726888
1.5575,16.74028362,5.561034485
1.5613,16.738768,5.583754996
1.5651,16.87452461,5.580135854
1.5688,16.93510315,5.62739365
1.5726,17.10998775,5.685149463
1.5763,17.15783031,5.723303244
1.5801,17.36214806,5.723303244
1.5838,17.35846372,5.718355644
1.5876,17.58923378,5.718355644
1.5913,17.56536603,5.782308425
1.5951,17.81789445,5.787847467
1.5988,17.73487884,5.886339432
1.6026,17.91809213,5.905384592
1.6063,17.9484049,5.955774118
1.6101,18.24941201,5.934872268
1.6138,18.17448546,5.959533719
1.6176,18.39379931,5.959533719
1.6214,18.35142192,6.026029413
1.6251,18.58824566,6.041248253
1.6289,18.52095722,6.081127464
1.6326,18.77240119,6.095376596
1.6364,18.76414853,6.188518538
1.6401,19.01269828,6.184674611
1.6439,19.01352661,6.210228968
1.6476,19.2490541,6.226448592
1.6514,19.16158163,6.32818512
1.6551,19.50538306,6.326237491
1.6589,19.39616132,6.380391643
1.6626,19.63449768,6.380391643
1.6664,19.56377261,6.480242637
1.6701,19.72521949,6.518026318
1.6739,19.78601472,6.557273763
1.6776,19.94565819,6.580140812
1.6814,19.95783002,6.696569993
1.6852,20.1170802,6.803489579
1.6889,20.14992169,7.080311346
1.6927,20.41338477,7.22643197
1.6964,20.35432995,7.408573462
1.7002,20.63286565,7.425143857
1.7039,20.60705769,7.414707791
1.7077,20.83627249,7.472987557
1.7114,20.78937234,7.562919215
1.7152,21.05629037,7.616076883
1.7189,20.95049573,7.741335416
1.7227,21.23842045,7.789048262
1.7264,21.12796235,7.824063039
1.7302,21.41895883,7.870192893
1.7339,21.39752708,7.972927751
1.7377,21.65113165,8.036331322
1.7415,21.5828327,8.145085031
1.7452,21.79603001,8.175088426
1.7490,21.76955755,8.219075938
1.7527,22.04747468,8.2734849
1.7565,22.05728455,8.353268986
1.7602,22.24007756,8.414810489
1.7640,22.16277362,8.57577352
1.7677,22.43730656,8.558725238
1.7715,22.36253749,8.631684277
1.7752,22.64214782,8.639122714
1.7790,22.65259528,8.734257556
1.7827,22.84737429,8.763868436
1.7865,22.80488985,9.000114039
1.7902,23.08704412,8.968908211
1.7940,23.00472339,9.002561217
1.7977,23.22439473,9.012358822
1.8015,23.2037757,9.175839154
1.8053,23.46112726,9.264456258
1.8090,23.39960357,9.417061971
1.8128,23.56585764,9.455293725
1.8165,23.69069152,9.544226149
1.8203,23.94885551,9.575365291
1.8240,23.8364199,9.62199062
1.8278,24.01207238,9.71020524
1.8315,24.08719401,9.808654578
1.8353,24.29688088,9.907583031
1.8390,24.29979724,10.00566125
1.8428,24.44974998,10.00598074
1.8465,24.49125756,10.12245514
1.8503,24.62004834,10.19822162
1.8540,24.71900298,10.32943379
1.8578,24.92147537,10.31989604
1.8616,24.95009456,10.49852877
1.8653,24.98961283,10.58090138
1.8691,25.20319615,10.55626545
1.8728,25.44373175,10.6223471
1.8766,25.41493034,10.82734623
1.8803,25.52042112,10.82655349
1.8841,25.69591024,11.03969817
1.8878,25.72661545,11.03501004
1.8916,25.8203088,11.13261687
1.8953,25.90575089,11.42819157
1.8991,26.08185195,11.36060401
1.9028,26.18987215,11.45713601
1.9066,26.25109539,11.51030766
1.9103,26.33628679,11.53674376
1.9141,26.46025884,11.76185332
1.9178,26.57781117,11.96186121
1.9216,26.7541111,11.97381776
1.9254,26.81611665,12.07539209
1.9291,26.96638243,12.16852768
1.9329,27.03518862,12.22719603
1.9366,27.21117324,12.38540121
1.9404,27.21452052,12.51260467
1.9441,27.30271305,12.64187659
1.9479,27.41042783,12.74034453
1.9516,27.5517069,12.92863108
1.9554,27.74949607,12.89703717
1.9591,27.81944182,13.06810524
1.9629,27.86249382,13.16214781
1.9666,28.04537662,13.42423541
1.9704,28.16040453,13.57401365
1.9741,28.29880999,13.60318483
1.9779,28.31821375,13.81054948
1.9817,28.52779711,13.89132497
1.9854,28.60901402,14.01708217
1.9892,28.77373687,14.12243042
1.9929,28.76392081,14.30545337
1.9967,28.93949852,14.4850765
2.0004,29.0242064,14.71156849
2.0042,29.19406043,14.70991071
2.0079,29.26029179,14.9626048
2.0117,29.36645565,15.01559114
2.0154,29.40960381,15.29543717
2.0192,29.58482801,15.28239309
2.0229,29.63089582,15.68384643
2.0267,29.82512537,15.62425731
2.0304,29.79218618,15.95833959
2.0342,29.99575131,15.99060676
2.0379,30.14188595,16.2240131
2.0417,30.22438834,16.29926605
2.0455,30.30145264,16.64507935
2.0492,30.42284067,16.68036411
2.0530,30.49390255,16.96098744
2.0567,30.73280125,17.10139807
2.0605,30.80542737,17.35279088
2.0642,30.88513328,17.35444474
2.0680,30.9607474,17.62906572
2.0717,31.17623083,17.67485137
2.0755,31.22436143,18.03174416
2.0792,31.39143409,17.96329332
2.0830,31.40771049,18.38930732
2.0867,31.46497308,18.33495736
2.0905,31.65705702,18.70361362
2.0942,31.82297088,18.66947865
2.0980,31.69488177,18.99574554
2.1018,31.9630623,18.99157058
2.1055,32.00820398,19.40856411
2.1093,32.22193639,19.32336527
2.1130,32.20620065,19.68873262
2.1168,32.32405661,19.6853574
2.1205,32.46461851,19.95666261
2.1243,32.48854335,19.92917274
2.1280,32.60724541,20.25913628
2.1318,32.77970724,20.21485772
2.1355,32.89200014,20.55138194
2.1393,33.05402412,20.58209624
2.1430,33.08734717,20.84872726
2.1468,33.28875203,20.85595824
2.1505,33.3006406,21.07505613
2.1543,33.51734196,21.24978106
2.1580,33.64987553,21.3783197
2.1618,33.78735042,21.45983948
2.1656,33.80867665,21.75812197
2.1693,33.94216686,21.77218703
2.1731,33.95418058,22.04049656
2.1768,34.04302347,21.85864085
2.1806,34.11789029,22.03503831
2.1843,34.30351436,21.99621159
2.1881,34.37264497,22.4471086
2.1918,34.43363483,22.35102555
2.1956,34.5728689,22.51855636
2.1993,34.76381752,22.55204343
2.2031,34.78237516,22.78162149
2.2068,35.01956992,22.92225216
2.2106,35.04737071,23.12241682
2.2143,35.14038179,23.17173368
2.2181,35.14942561,23.40575585
2.2219,35.34965059,23.4044039
2.2256,35.41081739,23.73325237
2.2294,35.6203404,23.77141954
2.2331,35.67102788,24.00106143
2.2369,35.87075645,24.11430964
2.2406,35.78884888,24.36908002
2.2444,36.00245261,24.36052156
2.2481,36.12371752,24.66800911
2.2519,36.2590951,24.7188214
2.2556,36.27260801,25.00265314
2.2594,36.51656328,24.94163145
2.2631,36.55753637,25.24805789
2.2669,36.73388207,25.32879607
2.2706,36.81364353,25.417919
2.2744,36.99832653,25.61193528
2.2781,37.0013787,25.75546104
2.2819,37.11210897,25.91508863
2.2857,37.24360369,26.09874514
2.2894,37.38226182,26.12649915
2.2932,37.44909308,26.49479729
2.2969,37.55749349,26.54951498
2.3007,37.68697642,26.76981507
2.3044,37.76823653,26.76439075
2.3082,37.93905173,27.08159932
2.3119,38.02047922,27.02708106
2.3157,38.04117623,27.31278663
