beta2(deg),beta3_1(deg),beta3_2(deg),p_avervage (kpa)
2.078669343,3.22775588,2.631592089,-0.870
2.115853074,3.246688753,2.643296215,-1.087
2.153692317,3.26138086,2.652600784,-0.783
2.18400647,3.273006888,2.661608289,-0.913
2.19267541,3.285386826,2.675315084,-1.045
2.190683862,3.29551904,2.688016465,-0.827
2.183686979,3.302802113,2.697124157,-1.066
2.178551759,3.306909327,2.70046311,-0.827
2.186354951,3.303925149,2.69087794,-0.892
2.203148345,3.301864112,2.679387412,-1.044
2.227673975,3.304573306,2.671460821,-0.957
2.257031432,3.315085023,2.671896111,-1.174
2.283308859,3.335680185,2.687514542,-1.153
2.310227722,3.364464574,2.712126081,-1.066
2.337474554,3.398606738,2.74151169,-0.785
2.364914159,3.434091461,2.770655011,-1.044
2.392495653,3.463516237,2.789793705,-1.023
2.419453084,3.487957114,2.804754793,-0.849
2.44488291,3.50621452,2.817462459,-0.936
2.467620352,3.517953091,2.830602328,-0.979
2.485673576,3.523691994,2.84821085,-1.044
2.49916834,3.524682155,2.869713807,-1.109
2.50780515,3.522859816,2.894973379,-0.827
2.511761544,3.520691519,2.922893469,-1.131
2.50992192,3.516774466,2.948764294,-0.957
2.5065395,3.520415446,2.975242001,-0.697
2.504128768,3.535571409,3.001641977,-0.979
2.504830745,3.563942902,3.026818897,-0.935
2.509402446,3.607412922,3.049926503,-1.110
2.51909913,3.657258567,3.068149333,-0.914
2.533447767,3.706292697,3.07971722,-1.131
2.550931915,3.747579652,3.083770406,-0.958
2.568946158,3.768594776,3.07673922,-1.088
2.585661943,3.779290207,3.066944613,-1.001
2.59915272,3.784236906,3.059204713,-0.871
2.608277675,3.788619782,3.057746712,-1.283
2.609906707,3.801027842,3.06627864,-1.022
2.610159818,3.816767089,3.083575922,-1.000
2.612533615,3.833816604,3.107457336,-1.023
2.620106083,3.849383838,3.134297419,-0.979
2.636109122,3.854512608,3.158540133,-0.979
2.658613953,3.858396754,3.178836551,-0.805
2.685616311,3.864342787,3.193575374,-1.262
2.714249036,3.875379529,3.202796573,-0.979
2.738640991,3.895555803,3.204084658,-0.893
2.761059592,3.921554836,3.207300257,-1.131
2.781507068,3.950874634,3.218144485,-0.913
2.800489356,3.980323288,3.240771934,-1.001
2.817706285,4.002253304,3.279222636,-0.914
2.835522519,4.021852192,3.32729457,-0.914
2.854834149,4.040237232,3.378850148,-1.283
2.875782144,4.058543641,3.426523302,-1.219
2.89764688,4.077819158,3.459644449,-1.153
2.918998186,4.097221665,3.479334777,-1.262
2.938041132,4.115581557,3.485400099,-1.261
2.95313305,4.131278515,3.480113492,-1.131
2.960610039,4.139861005,3.46477612,-1.153
2.964784334,4.144760941,3.449385034,-1.153
2.967973966,4.146956015,3.440636117,-1.175
2.972679286,4.147658027,3.443305578,-0.870
2.980416044,4.146290513,3.463003664,-0.958
2.99346116,4.146895339,3.492341989,-1.066
3.012312745,4.151179355,3.525637265,-0.979
3.036148175,4.160026663,3.55689969,-0.979
3.062270292,4.172982015,3.572816497,-1.175
