dV/V0,beta_1 (deg),beta_2 (deg),beta_3 (deg)
0.507488987,25.0850426,24.487735,26.53518383
0.509251101,25.16838811,24.71715064,26.48139024
0.511013216,25.64868438,24.74957435,26.80189888
0.51277533,25.65688395,24.86368475,26.67357339
0.514537445,25.72684154,25.06167301,27.09552849
0.516299559,25.95948948,25.18137972,26.98894687
0.518061674,25.99357523,25.41818011,27.38858283
0.519823789,25.88349779,25.70985953,27.52848861
0.521585903,26.31460478,25.80896677,27.69671783
0.523348018,26.37577843,25.91930127,28.14040344
0.525110132,26.6811221,26.18525826,28.09474398
0.526872247,26.68276164,26.32930267,28.32238777
0.528634361,26.9379366,26.37134328,28.63551767
0.530396476,26.96400499,26.60407383,28.64390572
0.53215859,27.16231623,26.72641057,28.66345725
0.533920705,27.48842407,26.71819042,28.89720685
0.535682819,27.5523193,26.99299331,29.03991176
0.537444934,27.63686398,27.00586716,29.24763865
0.539207048,27.86946617,27.34392256,29.47785788
0.540969163,28.10121254,27.42752459,29.58434052
0.542731278,28.28879305,27.72392468,29.74858892
0.544493392,28.42271219,27.78423184,30.09505444
0.546255507,28.69417878,28.04854914,30.17216633
0.548017621,28.91181083,28.15934854,30.32722639
0.549779736,28.90645438,28.460635,30.2184275
0.55154185,29.16983897,28.52546326,30.48085177
0.553303965,29.29839988,28.77867083,30.68234298
0.555066079,29.5868664,28.93167851,30.8584035
0.556828194,29.800619,29.09066872,31.1527956
0.558590308,29.97085285,29.25953856,31.42611939
0.560352423,30.19762137,29.40742306,31.33690617
0.562114537,30.21426875,29.68611239,31.77465388
0.563876652,30.58100023,29.67912747,31.8075932
0.565638767,30.65153435,30.06335777,32.07558972
0.567400881,30.79851016,30.21543726,31.96163758
0.569162996,31.10302149,30.29857698,32.26188066
0.57092511,31.20463143,30.36400557,32.52015409
0.572687225,31.49338796,30.73784633,32.56376178
0.574449339,31.68137814,31.0575605,32.97003433
0.576211454,31.75020025,31.0559865,33.21075269
0.577973568,31.93316754,31.36065106,33.39742138
0.579735683,32.19560833,31.54234778,33.38692516
0.581497797,32.34794174,31.51548774,33.40381215
0.583259912,32.69166997,31.97052979,33.63437445
0.585022026,32.77266899,31.94240746,33.86306467
0.586784141,33.00028936,32.09830331,33.8989339
0.588546256,32.96364291,32.23605622,34.38114433
0.59030837,33.19173875,32.48859162,34.58508785
0.592070485,33.53532645,32.76458569,34.52513336
0.593832599,33.64818829,32.83922003,35.03250537
0.595594714,33.75167094,32.87024751,34.98571315
0.597356828,33.98187715,33.18060489,35.21182608
0.599118943,34.28491853,33.36241468,35.24890235
0.600881057,34.59643492,33.59393359,35.53442217
0.602643172,34.74037822,33.80481233,35.6866714
0.604405286,34.77401376,33.87577872,36.12770298
0.606167401,35.05983761,34.14440064,36.3347986
0.607929515,35.20785546,34.20499815,36.46773961
0.60969163,35.48928874,34.39427144,36.82286777
0.611453744,35.55507539,34.62108519,36.8170016
0.613215859,35.54608653,34.84100605,36.9108785
0.614977974,35.82148077,34.95083612,37.19050178
0.616740088,35.91363491,35.13037329,37.19120971
0.618502203,36.2041661,35.40927432,37.65179774
0.620264317,36.25211223,35.63214955,37.57454449
0.622026432,36.63226487,35.71367568,38.12531774
0.623788546,36.94181106,35.91805476,38.42041546
0.625550661,37.00763271,36.05423649,38.54299487
0.627312775,37.1315292,36.3438669,38.82329491
0.62907489,37.31372099,36.48459828,39.06448611
0.630837004,37.57915247,36.76364874,39.29330025
0.632599119,37.70480121,36.95516624,39.26146157
0.634361233,38.01097607,37.06545686,39.53089231
0.636123348,38.07239587,37.33811704,39.62351432
0.637885463,38.26994983,37.44808232,39.90298707
0.639647577,38.49749171,37.77999741,40.00161876
0.641409692,38.63679595,37.8042565,40.48827079
0.643171806,38.80468749,38.08541925,40.50228537
0.644933921,39.08947042,38.18262434,40.51306259
0.646696035,39.22975026,38.40610544,40.84328216
0.64845815,39.39754347,38.65732346,41.07015934
0.650220264,39.57811833,38.88480448,41.17427931
0.651982379,39.66476064,38.91444072,41.498251
0.653744493,39.70292498,39.08802886,41.75847018
0.655506608,40.02113589,39.21368271,42.0106097
0.657268722,40.21779968,39.60133859,42.05235446
0.659030837,40.47815965,39.76855864,42.29317867
0.660792952,40.78517796,40.09268261,42.67132699
0.662555066,41.0150857,40.08077904,42.9032668
0.664317181,41.09915503,40.32965578,42.80789339
0.666079295,41.17450662,40.60861873,43.33889641
0.66784141,41.49019531,40.80709976,43.50192383
0.669603524,41.63447935,40.96978743,43.6734201
0.671365639,41.88956863,41.23836575,43.70450413
0.673127753,42.04325563,41.43137501,43.85319596
0.674889868,42.08534636,41.58667277,43.76099966
0.676651982,42.37500628,41.73159821,44.29960272
0.678414097,42.57839704,41.84415532,44.43980307
0.680176211,42.74210133,42.24069943,44.49838311
0.681938326,42.92038254,42.33824662,44.98638411
0.683700441,42.97815151,42.62878151,45.01131114
0.685462555,43.10765135,42.72255635,45.3133684
0.68722467,43.47000359,43.02094262,45.51814022
0.688986784,43.72597471,43.134388,45.68020097
