Test,Sample1,Sample2,Sample3,theta=90,t1=0.25mm,t2=0.75mm,H=18mm,R=10mm,flow=0.3ml/min
dv (ml),p (kpa),p (kpa),p (kpa),,,,,,
0.031166667,-0.249951403,-0.096909717,-0.155132442,,,,,,
0.031333333,-0.251899962,-0.180918693,-0.179032442,,,,,,
0.0315,-0.204931837,-0.105673756,-0.237148507,,,,,,
0.031666667,-0.124912709,-0.206928774,-0.183135434,,,,,,
0.031833333,-0.204931837,-0.120753145,-0.153054759,,,,,,
0.032,-0.178897525,-0.137882948,-0.153054759,,,,,,
0.032166667,-0.193917175,-0.206928774,-0.12712945,,,,,,
0.032333333,-0.206928774,-0.150866275,-0.226141926,,,,,,
0.0325,-0.234960024,-0.150866275,-0.153054759,,,,,,
0.032666667,-0.120753145,-0.105673756,-0.122913315,,,,,,
0.032833333,-0.122835026,-0.178897525,-0.207092006,,,,,,
0.033,-0.122835026,-0.081848721,-0.192040974,,,,,,
0.033166667,-0.206928774,-0.208921685,-0.237148507,,,,,,
0.033333333,-0.137882948,-0.232991401,-0.207092006,,,,,,
0.0335,-0.223911077,-0.094803777,-0.153054759,,,,,,
0.033666667,-0.208921685,-0.137882948,-0.153054759,,,,,,
0.033833333,-0.234960024,-0.152915701,-0.150972879,,,,,,
0.034,-0.204931837,-0.079726512,-0.211138426,,,,,,
0.034166667,-0.189894984,-0.124912709,-0.122913315,,,,,,
0.034333333,-0.122835026,-0.180918693,-0.12712945,,,,,,
0.0345,-0.204931837,-0.139944423,-0.084051341,,,,,,
0.034666667,-0.232991401,-0.223911077,-0.181086009,,,,,,
0.034833333,-0.152915701,-0.204931837,-0.153054759,,,,,,
0.035,-0.219953509,-0.180918693,-0.23515157,,,,,,
0.035166667,-0.232991401,-0.122835026,-0.122913315,,,,,,
0.035333333,-0.232991401,-0.189894984,-0.198153041,,,,,,
0.0355,-0.262991273,-0.193917175,-0.196119795,,,,,,
0.035666667,-0.152915701,-0.193917175,-0.170164156,,,,,,
0.035833333,-0.232991401,-0.195922192,-0.107819746,,,,,,
0.036,-0.221934289,-0.178897525,-0.192040974,,,,,,
0.036166667,-0.249951403,-0.208921685,-0.112068454,,,,,,
0.036333333,-0.261050965,-0.193917175,-0.12712945,,,,,,
0.0365,-0.221934289,-0.152915701,-0.207092006,,,,,,
0.036666667,-0.217968726,-0.148812709,-0.181086009,,,,,,
0.036833333,-0.180918693,-0.165900062,-0.081900845,,,,,,
0.037,-0.195922192,-0.234960024,-0.252154022,,,,,,
0.037166667,-0.195922192,-0.189894984,-0.181086009,,,,,,
0.037333333,-0.262991273,-0.094803777,-0.181086009,,,,,,
0.0375,-0.221934289,-0.178897525,-0.265179757,,,,,,
0.037666667,-0.217968726,-0.176872273,-0.09699226,,,,,,
0.037833333,-0.234960024,-0.105673756,-0.207092006,,,,,,
0.038,-0.152915701,-0.193917175,-0.137991645,,,,,,
0.038166667,-0.247998909,-0.180918693,-0.153054759,,,,,,
0.038333333,-0.150866275,-0.204931837,-0.153054759,,,,,,
0.0385,-0.206928774,-0.148812709,-0.211138426,,,,,,
0.038666667,-0.291022522,-0.122835026,-0.237148507,,,,,,
0.038833333,-0.19190811,-0.204931837,-0.196119795,,,,,,
0.039,-0.180918693,-0.165900062,-0.181086009,,,,,,
0.039166667,-0.236924677,-0.120753145,-0.12502351,,,,,,
0.039333333,-0.148812709,-0.234960024,-0.23515157,,,,,,
0.0395,-0.262991273,-0.206928774,-0.183135434,,,,,,
0.039666667,-0.167933308,-0.167933308,-0.207092006,,,,,,
0.039833333,-0.236924677,-0.204931837,-0.168102681,,,,,,
0.04,-0.206928774,-0.178897525,-0.170164156,,,,,,
0.040166667,-0.291022522,-0.178897525,-0.150972879,,,,,,
0.040333333,-0.208921685,-0.161821241,-0.12712945,,,,,,
0.0405,-0.165900062,-0.221934289,-0.107819746,,,,,,
0.040666667,-0.279888846,-0.208921685,-0.153054759,,,,,,
0.040833333,-0.167933308,-0.152915701,-0.112068454,,,,,,
0.041,-0.206928774,-0.193917175,-0.224136909,,,,,,
0.041166667,-0.291022522,-0.124912709,-0.107819746,,,,,,
0.041333333,-0.152915701,-0.120753145,-0.198153041,,,,,,
0.0415,-0.206928774,-0.206928774,-0.153054759,,,,,,
0.041666667,-0.234960024,-0.161821241,-0.224136909,,,,,,
0.041833333,-0.262991273,-0.122835026,-0.209117258,,,,,,
0.042,-0.206928774,-0.206928774,-0.265179757,,,,,,
0.042166667,-0.262991273,-0.208921685,-0.155132442,,,,,,
0.042333333,-0.206928774,-0.193917175,-0.155132442,,,,,,
0.0425,-0.176872273,-0.133747498,-0.12502351,,,,,,
0.042666667,-0.176872273,-0.122835026,-0.194082444,,,,,,
0.042833333,-0.206928774,-0.193917175,-0.135893489,,,,,,
0.043,-0.261050965,-0.148812709,-0.150972879,,,,,,
0.043166667,-0.261050965,-0.152915701,-0.181086009,,,,,,
0.043333333,-0.19190811,-0.234960024,-0.209117258,,,,,,
0.0435,-0.234960024,-0.152915701,-0.211138426,,,,,,
0.043666667,-0.234960024,-0.247998909,-0.265179757,,,,,,
0.043833333,-0.246042469,-0.150866275,-0.179032442,,,,,,
0.044,-0.176872273,-0.167933308,-0.252154022,,,,,,
0.044166667,-0.279888846,-0.221934289,-0.183135434,,,,,,
0.044333333,-0.206928774,-0.208921685,-0.181086009,,,,,,
0.0445,-0.249951403,-0.176872273,-0.239141418,,,,,,
0.044666667,-0.261050965,-0.236924677,-0.265179757,,,,,,
0.044833333,-0.208921685,-0.094803777,-0.224136909,,,,,,
0.045,-0.251899962,-0.150866275,-0.181086009,,,,,,
0.045166667,-0.208921685,-0.167933308,-0.140085568,,,,,,
0.045333333,-0.208921685,-0.208921685,-0.23515157,,,,,,
0.0455,-0.176872273,-0.232991401,-0.12502351,,,,,,
0.045666667,-0.262991273,-0.152915701,-0.224136909,,,,,,
0.045833333,-0.223911077,-0.208921685,-0.293211006,,,,,,
0.046,-0.180918693,-0.232991401,-0.135893489,,,,,,
0.046166667,-0.161821241,-0.206928774,-0.239141418,,,,,,
0.046333333,-0.221934289,-0.148812709,-0.222127843,,,,,,
0.0465,-0.249951403,-0.165900062,-0.153054759,,,,,,
0.046666667,-0.161821241,-0.232991401,-0.23515157,,,,,,
0.046833333,-0.180918693,-0.148812709,-0.239141418,,,,,,
