dv (ml),p1 (kpa),p2 (kpa),p3(kpa)
0.946666667,-0.718158954,-0.719742015,-0.653659289
0.951111111,-0.128816079,-0.981372586,-0.457385071
0.955555556,-0.130324889,-0.459092238,-0.915421104
0.96,-0.390974666,-0.652611259,-0.913194783
0.964444444,-0.128816079,-0.848952621,-0.655033815
0.968888889,0,-0.914705348,-0.915421104
0.973333333,-0.454366161,-1.046012053,-0.850912223
0.977777778,-0.454366161,-0.720985297,-0.913194783
0.982222222,-0.651624443,-0.78667006,-0.655033815
0.986666667,-0.326467003,-0.719742015,-0.652281988
0.991111111,-0.392217948,-0.719742015,-1.174958843
0.995555556,-0.130324889,-0.719742015,-0.914309066
1,-0.064375559,-0.980391792,-0.785227459
1.004444444,-0.259272477,-1.241041569,-0.5233344
1.008888889,-0.323843909,-0.784314738,-1.108420176
1.013333333,-0.91227422,-0.459092238,-1.175808392
1.017777778,-0.454366161,-0.719742015,-0.52182559
1.022222222,-0.652605237,-0.850066903,-1.108420176
1.026666667,-0.522411592,-0.981372586,-0.97894751
1.031111111,-0.781949331,-0.980391792,-0.52182559
1.035555556,-0.781949331,-0.719742015,-0.655033815
1.04,-0.781098067,-0.851178941,-0.785227459
1.044444444,-0.457902711,-0.652611259,-0.655033815
1.048888889,-0.652605237,-0.850066903,-1.10933812
1.053333333,-0.262024304,-1.110716681,-0.915421104
1.057777778,-0.65064167,-0.588039826,-0.915421104
1.062222222,-0.130324889,-0.980391792,-0.393009511
1.066666667,-0.194766169,-1.044178014,-0.782738386
1.071111111,-0.781949331,-0.851178941,-1.044633954
1.075555556,-0.521299554,-0.653924128,-0.981040344
1.08,-0.1333334,-0.981372586,-0.716853421
1.084444444,-0.130324889,-0.459092238,-0.524840171
1.088888889,-0.32777459,-0.652611259,-0.5233344
1.093333333,-0.715410665,-0.526413818,-0.78646824
1.097777778,-0.651624443,-0.850066903,-0.783984177
1.102222222,-0.197646468,-1.046012053,-1.043651181
1.106666667,-0.715410665,-0.850066903,-1.045614748
1.111111111,-0.128816079,-0.459092238,-0.849735748
1.115555556,-0.522411592,-0.850066903,-1.043651181
1.12,-0.651624443,-0.588039826,-0.914309066
1.124444444,-0.584888413,-0.851178941,-0.720784101
1.128888889,-0.782798881,-0.526413818,-0.914309066
1.133333333,-1.172923997,-1.110716681,-0.785227459
1.137777778,-0.781098067,-0.652611259,-0.981040344
1.142222222,-0.520185272,-0.652611259,-0.914309066
1.146666667,-0.521299554,-0.980391792,-0.914309066
1.151111111,-0.91227422,-0.915752819,-1.108420176
1.155555556,-0.977109829,-0.981372586,-0.914309066
1.16,-0.521299554,-0.656541939,-1.043651181
1.164444444,-0.260649777,-0.718496224,-0.850912223
1.168888889,-0.457902711,-0.78313351,-0.5233344
1.173333333,-0.65064167,-0.720985297,-1.174958843
1.177777778,-0.584888413,-1.044178014,-0.782738386
1.182222222,-0.521299554,-0.914705348,-0.785227459
1.186666667,-0.781949331,-0.980391792,-1.174958843
1.191111111,-0.91227422,-1.174700266,-1.174958843
1.195555556,-0.325156779,-0.589417126,-0.5233344
1.2,-0.260649777,-1.044178014,-0.652281988
1.204444444,-0.91227422,-0.524975119,-1.111168465
1.208888889,-0.522411592,-0.850066903,-0.915421104
1.213333333,-0.259272477,-1.044178014,-0.719476515
1.217777778,-0.715410665,-1.305877178,-1.174958843
1.222222222,-0.781098067,-1.436267788,-1.10933812
1.226666667,-0.585937999,-0.718496224,-0.653659289
1.231111111,-0.651624443,-1.11156623,-1.044633954
1.235555556,-0.260649777,-1.241041569,-0.914309066
1.24,-0.651624443,-1.044178014,-1.044633954
1.244444444,-0.912992525,-1.241041569,-0.914309066
1.248888889,-0.781098067,-0.589417126,-1.174958843
1.253333333,-0.457902711,-0.850066903,-0.914309066
1.257777778,-0.389728874,-1.30653052,-0.458958048
1.262222222,-0.651624443,-1.045095958,-0.848556901
1.266666667,-0.651624443,-0.850066903,-0.914309066
1.271111111,-0.651624443,-0.850066903,-0.914309066
1.275555556,-0.846719219,-1.109865416,-1.238942428
1.28,-0.58698547,-0.980391792,-0.783984177
1.284444444,-0.522411592,-0.850066903,-1.044633954
1.288888889,-0.781098067,-0.850066903,-0.850912223
1.293333333,-0.390974666,-0.850066903,-1.306002037
1.297777778,-0.260649777,-0.851178941,-1.108420176
1.302222222,-0.781098067,-0.850066903,-1.044633954
1.306666667,-0.651624443,-1.241759875,-0.653659289
1.311111111,-0.91227422,-0.719742015,-0.652281988
1.315555556,-0.978415197,-1.110716681,-1.174958843
