test,sample0,sample0,sample1,sample1,sample2,sample2,R=9mm,H=45mm,t=1.2mm,flow=1.2ml/min
dv (ml),p (kpa),p (kpa),p (kpa),p (kpa),p (kpa),p (kpa),,,,
0.121333333,-0.627097524,-1.062839301,-0.894368774,-1.035558922,-1.076184353,-0.882941924,,,,
0.122,-0.52830734,-1.077181082,-0.810190082,-1.035558922,-0.990180768,-0.952581861,,,,
0.122666667,-0.542918832,-1.148122671,-0.812086767,-1.007527672,-1.02023477,-0.979181721,,,,
0.123333333,-0.600128832,-1.147570889,-0.896956619,-1.007527672,-1.075577282,-0.909387662,,,,
0.124,-0.627097524,-1.147017993,-0.810190082,-0.937775054,-0.991568306,-0.993566354,,,,
0.124666667,-0.585560972,-1.105821249,-0.86720188,-0.99440285,-1.033897644,-1.022292072,,,,
0.125333333,-0.627097524,-1.160777997,-0.937690324,-1.035006025,-1.033247617,-0.938947908,,,,
0.126,-0.573214513,-1.090898865,-0.894368774,-1.021826395,-1.005230503,-0.994260823,,,,
0.126666667,-0.643744346,-1.148122671,-0.881656097,-0.978886897,-1.048209562,-1.049685482,,,,
0.127333333,-0.627097524,-1.176125663,-0.89523313,-1.035558922,-1.145316071,-0.910167074,,,,
0.128,-0.640602311,-1.231664638,-0.797604757,-1.006946461,-1.116732476,-1.021625918,,,,
0.128666667,-0.615755462,-1.120119679,-0.951295629,-1.035558922,-1.089281844,-1.049685482,,,,
0.129333333,-0.59903796,-1.231664638,-0.922428338,-1.022391735,-1.033247617,-1.050959875,,,,
0.13,-0.656191331,-1.231196685,-0.937690324,-1.147683919,-1.158538152,-0.994953891,,,,
0.130666667,-0.683216652,-1.134403703,-0.881656097,-1.133441511,-1.173333184,-1.007936463,,,,
0.131333333,-0.71225383,-1.148122671,-0.96649861,-1.092116687,-1.132133936,-1.009294344,,,,
0.132,-0.683216652,-1.203137121,-0.881656097,-1.064113695,-1.145316071,-1.050323321,,,,
0.132666667,-0.711276216,-1.273498879,-1.021741665,-1.036110703,-1.089281844,-1.022292072,,,,
0.133333333,-0.683216652,-1.287727137,-1.007358128,-1.077350712,-1.186597716,-1.021625918,,,,
0.134,-0.628160082,-1.175077557,-0.965707438,-1.134347273,-1.173842067,-1.036633202,,,,
0.134666667,-0.684222581,-1.259256249,-1.035389377,-1.133894849,-1.131031484,-1.022956883,,,,
0.135333333,-0.711276216,-1.274348126,-0.993724552,-1.09162142,-1.132133936,-1.093260998,,,,
0.136,-0.72578797,-1.204128655,-0.952101727,-1.106358389,-1.075577282,-1.050323321,,,,
0.136666667,-0.657223489,-1.203137121,-0.979326878,-1.092116687,-1.145853182,-1.022292072,,,,
0.137333333,-0.655157088,-1.260134639,-0.993724552,-1.147683919,-1.130478588,-1.078354571,,,,
0.138,-0.699722115,-1.315758386,-0.96649861,-1.21794619,-1.201830951,-1.064650316,,,,
0.138666667,-0.71225383,-1.203137121,-1.021741665,-1.189134743,-1.130478588,-1.078354571,,,,
0.139333333,-0.781878769,-1.30114671,-1.063420626,-1.104913515,-1.173333184,-1.10638582,,,,
0.14,-0.72578797,-1.287315813,-1.007358128,-1.105877735,-1.244033102,-1.149238768,,,,
0.140666667,-0.685226481,-1.316140623,-1.006607029,-1.231777667,-1.201350298,-1.049685482,,,,
0.141333333,-0.668676054,-1.260134639,-1.049758779,-1.218313927,-1.145853182,-1.13441707,,,,
0.142,-0.726750454,-1.344143615,-1.105793006,-1.231777667,-1.228914074,-1.148701656,,,,
0.142666667,-0.74028508,-1.343789635,-0.965707438,-1.218313927,-1.299601218,-1.13441707,,,,
0.143333333,-0.684222581,-1.315758386,-1.120119679,-1.231422973,-1.285401639,-1.105804609,,,,
0.144,-0.795454908,-1.371820885,-1.077775892,-1.231422973,-1.188083519,-1.149238768,,,,
0.144666667,-0.852410077,-1.315758386,-1.049758779,-1.148122671,-1.243156482,-1.119550435,,,,
0.145333333,-0.783688769,-1.372146607,-1.007358128,-1.147244281,-1.187093983,-1.189983301,,,,
0.146,-0.753833369,-1.343789635,-1.050465264,-1.176125663,-1.257384525,-1.10638582,,,,
0.146666667,-0.797238449,-1.343789635,-1.077775892,-1.203363409,-1.215592242,-1.246542067,,,,
0.147333333,-0.73933578,-1.259695887,-1.105793006,-1.245963303,-1.355932268,-1.133864173,,,,
0.148,-0.852410077,-1.344143615,-1.105141666,-1.217208485,-1.257384525,-1.259919148,,,,
0.148666667,-0.73933578,-1.301544278,-1.105793006,-1.231777667,-1.228914074,-1.120684543,,,,
0.149333333,-0.768316329,-1.372146607,-1.050465264,-1.246302812,-1.285401639,-1.162971843,,,,
0.15,-0.726750454,-1.344143615,-1.133810119,-1.301713908,-1.341435866,-1.274573317,,,,
0.150666667,-0.851574036,-1.371820885,-1.133810119,-1.232131647,-1.31378649,-1.246102429,,,,
0.151333333,-0.74028508,-1.385992385,-1.161232465,-1.231777667,-1.341095672,-1.162448319,,,,
0.152,-0.825241441,-1.413725876,-1.189844347,-1.315601665,-1.229367412,-1.218510818,,,,
0.152666667,-0.811677654,-1.385680477,-1.176704534,-1.232131647,-1.243595234,-1.17671877,,,,
0.153333333,-0.795454908,-1.357294196,-1.21786146,-1.288137631,-1.341095672,-1.316804338,,,,
0.154,-0.851574036,-1.372146607,-1.190409687,-1.18953231,-1.397470093,-1.330635816,,,,
0.154666667,-0.894060367,-1.371494505,-1.203576873,-1.217208485,-1.397470093,-1.246542067,,,,
0.155333333,-0.865192252,-1.400149599,-1.118845285,-1.316140623,-1.425487207,-1.330635816,,,,
0.156,-0.908472576,-1.456155583,-1.161827233,-1.315601665,-1.397470093,-1.246542067,,,,
0.156666667,-0.852410077,-1.456155583,-1.118845285,-1.287542101,-1.397186471,-1.274573317,,,,
0.157333333,-0.825241441,-1.399852134,-1.091451876,-1.343902665,-1.285797605,-1.274573317,,,,
0.158,-0.894060367,-1.442026612,-1.148122671,-1.273355971,-1.298835971,-1.246102429,,,,
0.158666667,-0.837969568,-1.400149599,-1.231083541,-1.344143615,-1.31378649,-1.288787224,,,,
0.159333333,-0.853244433,-1.456155583,-1.174964413,-1.231777667,-1.411074227,-1.218510818,,,,
0.16,-0.907693163,-1.427883384,-1.218398571,-1.287542101,-1.341095672,-1.246542067,,,,
0.160666667,-0.908472576,-1.428152591,-1.273895687,-1.288137631,-1.425487207,-1.400855679,,,,
0.161333333,-0.935752727,-1.470043726,-1.162420802,-1.399780356,-1.439616178,-1.316435858,,,,
0.162,-0.851574036,-1.470043726,-1.190409687,-1.414065985,-1.313418752,-1.358667065,,,,
0.162666667,-0.908472576,-1.540008381,-1.218398571,-1.329503456,-1.425487207,-1.358992787,,,,
0.163333333,-0.852410077,-1.483945882,-1.190409687,-1.343661228,-1.397470093,-1.358992787,,,,
0.164,-0.881247425,-1.554095066,-1.190409687,-1.358031758,-1.425487207,-1.358340685,,,,
0.164666667,-0.978196565,-1.511977132,-1.218398571,-1.427996413,-1.425487207,-1.317172075,,,,
0.165333333,-0.881247425,-1.455914633,-1.288137631,-1.343902665,-1.341435866,-1.344140376,,,,
0.166,-0.908472576,-1.540008381,-1.232654117,-1.344143615,-1.45327727,-1.316435858,,,,
0.166666667,-0.907693163,-1.498060839,-1.315262233,-1.371933915,-1.48132267,-1.316804338,,,,
0.167333333,-0.936503825,-1.567911452,-1.245878574,-1.456027663,-1.425487207,-1.414459813,,,,
0.168,-0.964535075,-1.540008381,-1.203023977,-1.428152591,-1.439856642,-1.414459813,,,,
0.168666667,-0.92287025,-1.567911452,-1.329504863,-1.371720792,-1.509538547,-1.386995779,,,,
0.169333333,-0.979610961,-1.511792324,-1.260134639,-1.498117325,-1.397470093,-1.414459813,,,,
0.17,-0.880441327,-1.512161567,-1.301912801,-1.427996413,-1.537555661,-1.358667065,,,,
0.170666667,-0.92287025,-1.511977132,-1.259143105,-1.441940906,-1.411074227,-1.414729564,,,,
0.171333333,-0.94941348,-1.568167551,-1.259143105,-1.442083098,-1.495252919,-1.386400249,,,,
0.172,-0.908472576,-1.540164559,-1.274376341,-1.470213889,-1.425487207,-1.372838565,,,,
0.172666667,-0.908472576,-1.62403058,-1.287202669,-1.414236119,-1.523312483,-1.386995779,,,,
0.173333333,-0.936503825,-1.511977132,-1.371381361,-1.442225004,-1.481719797,-1.442760813,,,,
0.174,-0.908472576,-1.568039631,-1.302365225,-1.455899484,-1.453730913,-1.470578941,,,,
0.174666667,-0.909250417,-1.610129293,-1.413981255,-1.484058912,-1.551372047,-1.498823312,,,,
0.175333333,-1.020597574,-1.610214741,-1.385964142,-1.540121411,-1.481521434,-1.372526657,,,,
0.176,-1.033634708,-1.567911452,-1.399440925,-1.386048871,-1.509538547,-1.470792063,,,,
0.176666667,-1.005560966,-1.59607088,-1.399440925,-1.540121411,-1.579730599,-1.386698314,,,,
0.177333333,-0.977487223,-1.59607088,-1.385964142,-1.456027663,-1.46761917,-1.470792063,,,,
0.178,-1.033634708,-1.66619251,-1.385964142,-1.399965164,-1.565686451,-1.540941246,,,,
