Test ,20220705_1515_4folds_sample2,20220705_1518_4folds_sample2,20220705_1521_4folds_sample2,20220705_1526_4folds_sample0,20220705_1529_4folds_sample0,20220705_1531_4folds_sample0,20220705_1548_4folds_sample3_metadata,20220705_1550_4folds_sample3
dV (ml),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa)
0.352444444,-0.849280565,-1.231590761,-1.432193989,-0.976124008,-1.234539224,-0.91273427,-1.236839507,-1.433573774
0.355333333,-1.107695781,-0.778606142,-1.111958738,-1.433573774,-1.367295838,-0.844086947,-1.303248886,-1.234736587
0.358222222,-1.107695781,-0.904067377,-1.564687319,-1.497686448,-1.305542121,-0.979012206,-1.758401946,-1.298911799
0.361111111,-1.178698678,-0.970546258,-1.109534258,-1.367295838,-1.435735766,-1.105263292,-1.495386364,-1.433573774
0.364,-1.242682255,-0.911355511,-1.104670605,-1.495583727,-1.56592941,-1.30574183,-1.236839507,-1.239200809
0.366888889,-1.370843005,-1.299905696,-1.498474078,-1.628077058,-1.497686448,-1.303906099,-1.364864113,-1.303248886
0.369777778,-0.979671175,-0.972912262,-1.564687319,-1.298648516,-1.369525698,-1.043124879,-1.628011337,-0.97618973
0.372666667,-1.046080554,-1.103302872,-1.111958738,-1.435735766,-1.694223551,-0.914964129,-1.497620727,-1.175217233
0.375555556,-0.979671175,-0.712131042,-1.173515489,-1.109007231,-1.694223551,-1.498671441,-1.628011337,-1.435604522
0.378444444,-1.370843005,-1.103302872,-1.564687319,-1.497686448,-1.690413033,-0.65195305,-1.888792556,-1.495781091
0.381333333,-0.851904554,-0.712131042,-1.040627234,-1.626105979,-1.628077058,-1.303906099,-1.760369053,-1.369460043
0.384222222,-0.785430777,-1.428327248,-1.695077929,-1.234539224,-1.367295838,-1.043124879,-1.433573774,-1.497752169
0.387111111,-0.977173529,-1.235791965,-1.171149485,-1.499784931,-1.82454844,-1.235851464,-1.367230117,-1.367361559
0.39,-0.846651277,-1.231590761,-1.434296709,-1.630044165,-1.56592941,-1.171544411,-1.628011337,-1.626303342
0.392888889,-0.918311389,-1.231590761,-1.175876726,-1.758467668,-1.630044165,-0.718362429,-1.497620727,-1.429499972
0.395777778,-1.046080554,-0.712131042,-1.043124879,-1.694223551,-1.499784931,-1.303906099,-1.820737921,-1.108941576
0.398666667,-1.242682255,-0.970546258,-1.107104885,-1.497686448,-1.236905228,-0.91273427,-1.696254299,-1.499719276
0.401555556,-1.046080554,-0.911355511,-1.173515489,-1.758467668,-1.690413033,-0.779977655,-1.497620727,-1.305410877
0.404444444,-1.370843005,-1.231590761,-1.372346027,-1.626105979,-1.82454844,-0.718362429,-1.497620727,-1.497752169
0.407333333,-0.655105888,-0.781161866,-1.303906099,-1.175348477,-1.433573774,-0.844086947,-1.690149749,-1.303248886
0.410222222,-0.977173529,-1.169580808,-1.171149485,-1.303248886,-1.429236688,-1.303906099,-1.559561577,-1.628142779
0.413111111,-0.849280565,-1.299905696,-1.173515489,-1.760303398,-1.497686448,-1.173515489,-1.694223551,-1.560088144
0.416,-1.048505034,-1.169580808,-0.91273427,-1.305542121,-1.369525698,-0.58803754,-1.236839507,-1.694223551
0.418888889,-0.982163788,-1.034655549,-1.496435122,-1.298648516,-1.497686448,-1.043124879,-1.566060654,-1.040169736
0.421777778,-1.110061785,-1.364084091,-1.171149485,-1.367295838,-1.369525698,-1.303906099,-1.628011337,-1.239200809
0.424666667,-1.046080554,-1.103302872,-1.303906099,-1.822776612,-1.696123054,-0.976845851,-1.298385232,-1.497752169
