dV/V,Theta1 (deg),Theta2 (deg),Theta3 (deg),delta1 (scale=0.081),delta2 (scale=0.082),delta3(scale=0.087)
0.5355,31.41005797,29.04321677,30.87022472,0.1153008,0.1268704,0.06844
0.5376,31.64343813,29.2401615,31.20375345,0.1168104,0.128794666,0.069761111
0.5397,31.88300926,29.56704782,31.48407087,0.1176264,0.130828267,0.070437778
0.5418,32.28246963,29.85523156,31.75696396,0.1191768,0.133321067,0.071372222
0.5439,32.59755705,30.1249047,32.07001828,0.1203396,0.1331024,0.073015556
0.546,32.95249835,30.36499165,32.22675799,0.1217676,0.137672533,0.073756667
0.5481,33.18549477,30.62777577,32.51679438,0.1233384,0.137475734,0.074594444
0.5502,33.4252045,30.90054857,32.76840349,0.1246644,0.137475734,0.075464444
0.5523,33.75197689,31.21496911,33.08123488,0.1252152,0.137475734,0.076527778
0.5544,34.1186177,31.50820869,33.40538166,0.126276,0.137475734,0.07743
0.5565,34.33525659,31.7713426,33.59682772,0.1273368,0.144232533,0.078525556
0.5586,34.73785945,32.14790583,33.89846278,0.12852,0.144035734,0.079492222
0.5607,35.05580172,32.37503631,34.2553569,0.129438,0.144035734,0.080813333
0.5628,35.31424494,32.71335647,34.44971471,0.1303968,0.144035734,0.082102222
0.5649,35.59918108,33.02678048,34.77456557,0.1313148,0.144035734,0.082972222
0.567,35.84606854,33.21100658,35.00924572,0.1325388,0.144035734,0.083971111
0.5691,36.17137536,33.59642203,35.33642729,0.1331508,0.149852267,0.085163333
0.5712,36.47792601,33.83769125,35.64835256,0.1341708,0.150595734,0.086162222
0.5733,36.77234001,34.19881872,35.89094428,0.135048,0.150595734,0.087161111
0.5754,37.04670767,34.41407236,36.17822792,0.1359048,0.150595734,0.088514444
0.5775,37.36817736,34.73538901,36.53862929,0.136986,0.150595734,0.089642222
0.5796,37.63224358,35.00033056,36.69602041,0.1375776,0.154706666,0.090963333
0.5817,37.93169663,35.30044765,37.02464962,0.138924,0.154969067,0.092445556
0.5838,38.2450016,35.59154303,37.38939251,0.1398216,0.154969067,0.093315556
0.5859,38.56846403,35.80800845,37.614758,0.1408416,0.154969067,0.094701111
0.588,38.80819564,36.16251989,37.90375404,0.1413312,0.1579648,0.095538889
0.5901,39.04297079,36.41452157,38.22819651,0.1424532,0.157155733,0.096666667
0.5922,39.39075443,36.69018136,38.49127851,0.1434528,0.160020266,0.098084444
0.5943,39.66909395,37.01495007,38.73498608,0.1443096,0.1593424,0.099147778
0.5964,39.98009677,37.26105009,39.07581058,0.1455132,0.1620976,0.100372222
0.5985,40.22605576,37.59121117,39.32740064,0.1462476,0.162797333,0.101822222
0.6006,40.56058171,37.84487131,39.64088356,0.147492,0.163715733,0.103207778
0.6027,40.86755697,38.05557637,39.93778088,0.148002,0.164765334,0.104496667
0.6048,41.17687674,38.31239629,40.21216279,0.149022,0.165530667,0.105721111
0.6069,41.55248659,38.70063118,40.46022295,0.1500012,0.167039466,0.106752222
0.609,41.78229602,38.92573372,40.71873129,0.1507968,0.1688544,0.107912222
0.6111,42.00808607,39.18258836,41.01575763,0.1517352,0.169160533,0.109265556
0.6132,42.19012482,39.43769496,41.23518909,0.1528776,0.169357334,0.110812222
0.6153,42.49965362,39.78982041,41.47778585,0.1536936,0.1711504,0.111972222
0.6174,42.70654486,40.07115524,41.74543703,0.1547544,0.171828266,0.113067778
0.6195,42.9522163,40.33656015,41.94542705,0.1556316,0.173184,0.11455
0.6216,43.27257809,40.61771035,42.21497128,0.156672,0.173730667,0.115838889
0.6237,43.44008972,40.88383042,42.52374346,0.1575084,0.175370666,0.11687
0.6258,43.74582991,41.21004791,42.75619004,0.1584672,0.175917334,0.118287778
0.6279,44.07629893,41.45347438,43.0112314,0.1598136,0.177273067,0.119544444
0.63,44.22450866,41.70892881,43.27717104,0.1606908,0.177688534,0.121123333
0.6321,44.47099095,41.98162759,43.56391828,0.1616496,0.178672533,0.122315556
0.6342,44.78780513,42.12571865,43.76291501,0.16269,0.180246933,0.123765556
0.6363,45.04097903,42.48168191,44.08288399,0.1637916,0.182127467,0.124861111
0.6384,45.27003962,42.78494802,44.35752075,0.1647912,0.183045866,0.126117778
0.6405,45.48776068,42.97877387,44.61946306,0.1659132,0.184904533,0.127213333
0.6426,45.76111838,43.1562493,44.93329907,0.1669536,0.186588266,0.128598889
0.6447,45.97618518,43.49031228,45.1351085,0.1683408,0.187725334,0.129984444
0.6468,46.27738386,43.81362404,45.42471399,0.1695444,0.188906134,0.131563333
0.6489,46.49719862,44.01529069,45.72770433,0.1707276,0.190896,0.132594444
0.651,46.7516555,44.20621449,45.87178327,0.1720332,0.1921424,0.133883333
0.6531,47.0150853,44.51953734,46.21750974,0.1734612,0.193673066,0.135333333
0.6552,47.33296634,44.65290205,46.4382577,0.1749096,0.1955536,0.136686667
0.6573,47.49489831,44.96820451,46.77520024,0.176256,0.1973904,0.137975556
0.6594,47.73030369,45.22166083,47.0262503,0.1774596,0.198811733,0.139328889
0.6615,47.98420174,45.47921212,47.27486332,0.1789284,0.200561067,0.140843333
0.6636,48.30632871,45.57972563,47.53214893,0.1807032,0.202222933,0.142712222
0.6657,48.57964963,45.82244244,47.81497987,0.1824984,0.2042784,0.144065556
0.6678,48.800176,46.18450784,48.03905202,0.1841508,0.2065088,0.145225556
0.6699,49.02420938,46.43604941,48.24395104,0.185232,0.2084768,0.146804444
0.672,49.30471771,46.63249926,48.44233462,0.1868028,0.2098544,0.148157778
0.6741,49.61312288,46.93920766,48.71103844,0.1885776,0.212062933,0.150091111
0.6762,49.90906824,47.13183443,48.90902685,0.190434,0.214665067,0.151541111
0.6783,50.14330001,47.3812688,49.19818679,0.1916988,0.2156928,0.153184444
0.6804,50.45538536,47.63121984,49.35664857,0.1932084,0.218666667,0.154602222
0.6825,50.76037247,47.89841562,49.58397987,0.1944936,0.220000533,0.156116667
0.6846,50.95825513,48.17794438,49.85741611,0.1959828,0.2217936,0.158404444
0.6867,51.37166486,48.37726932,50.1445834,0.19788,0.222755733,0.160595556
0.6888,51.72190001,48.62572782,50.35601496,0.1992468,0.224767467,0.161852222
0.6909,51.9188604,48.86132917,50.49450807,0.2010012,0.227304,0.16356
0.693,52.26715834,49.18995015,50.87583136,0.2024904,0.227129067,0.166041111
0.6951,52.61583442,49.47173833,51.14808774,0.2041632,0.2303872,0.166846667
0.6972,52.94885501,49.64163686,51.3673581,0.2057136,0.232595734,0.169843333
0.6993,53.29040217,49.92371655,51.52655708,0.2072028,0.235154133,0.172872222
0.7014,53.62230988,50.17086661,51.84065793,0.2088348,0.235875733,0.161691111
0.7035,53.8327404,50.41511204,52.10980979,0.2102832,0.235875733,0.174096667
0.7056,54.15413371,50.78862107,52.35201493,0.2116704,0.2399648,0.180992222
0.7077,54.51037281,50.88521608,52.6360028,0.2137512,0.240249066,0.163656667
0.7098,54.84607818,51.16374346,52.92121001,0.2151792,0.244185067,0.179832222
